"No.","Time","Source","Destination","Protocol","Length","Info"
"11693","82.320436350","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6730811 Ack=16687 Win=72192 Len=1420 TSval=561817748 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11694","82.320636053","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6732231 Ack=16687 Win=72192 Len=1420 TSval=561817748 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11696","82.321262118","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6733651 Ack=16687 Win=72192 Len=1420 TSval=561817749 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11697","82.321452962","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6735071 Ack=16687 Win=72192 Len=1420 TSval=561817749 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11699","82.329891615","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11700","82.330165356","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6737911 Ack=16687 Win=72192 Len=1420 TSval=561817749 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11702","82.330483354","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6739331 Ack=16687 Win=72192 Len=1420 TSval=561817750 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11703","82.330670042","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6740751 Ack=16687 Win=72192 Len=1420 TSval=561817750 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11705","82.330854325","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6742171 Ack=16687 Win=72192 Len=1420 TSval=561817751 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11706","82.331049346","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6743591 Ack=16687 Win=72192 Len=1420 TSval=561817751 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11708","82.331249352","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6745011 Ack=16687 Win=72192 Len=1420 TSval=561817752 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11709","82.331472940","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6746431 Ack=16687 Win=72192 Len=1420 TSval=561817752 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11711","82.331633655","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6747851 Ack=16687 Win=72192 Len=1420 TSval=561817752 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11712","82.331829465","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6749271 Ack=16687 Win=72192 Len=1420 TSval=561817752 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11714","82.332017147","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6750691 Ack=16687 Win=72192 Len=1420 TSval=561817753 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11715","82.332215008","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11717","82.333409815","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6753531 Ack=16687 Win=72192 Len=1420 TSval=561817754 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11718","82.333424450","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6754951 Ack=16687 Win=72192 Len=1420 TSval=561817754 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11720","82.333600415","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6756371 Ack=16687 Win=72192 Len=1420 TSval=561817755 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11721","82.333792393","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6757791 Ack=16687 Win=72192 Len=1420 TSval=561817755 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11723","82.339619695","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6759211 Ack=16687 Win=72192 Len=1420 TSval=561817757 TSecr=3833707114 [TCP segment of a reassembled PDU]"
"11724","82.339807515","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6760631 Ack=16687 Win=72192 Len=1420 TSval=561817757 TSecr=3833707114 [TCP segment of a reassembled PDU]"
"11726","82.340001844","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6762051 Ack=16687 Win=72192 Len=1420 TSval=561817757 TSecr=3833707114 [TCP segment of a reassembled PDU]"
"11727","82.340009429","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6763471 Ack=16687 Win=72192 Len=1420 TSval=561817757 TSecr=3833707114 [TCP segment of a reassembled PDU]"
"11729","82.340028921","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6764891 Ack=16687 Win=72192 Len=1420 TSval=561817757 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11730","82.340033378","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6766311 Ack=16687 Win=72192 Len=1420 TSval=561817757 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11732","82.340096918","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6767731 Ack=16687 Win=72192 Len=1420 TSval=561817757 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11733","82.340192245","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11735","82.340209210","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6770571 Ack=16687 Win=72192 Len=1420 TSval=561817758 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11736","82.340212443","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6771991 Ack=16687 Win=72192 Len=1420 TSval=561817758 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11737","82.340213877","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6773411 Ack=16687 Win=72192 Len=1420 TSval=561817759 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11739","82.340259892","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6774831 Ack=16687 Win=72192 Len=1420 TSval=561817759 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11740","82.340261516","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6776251 Ack=16687 Win=72192 Len=1420 TSval=561817760 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11741","82.340262992","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6777671 Ack=16687 Win=72192 Len=1420 TSval=561817760 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11742","82.340264544","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6779091 Ack=16687 Win=72192 Len=1420 TSval=561817760 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11743","82.340265856","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6780511 Ack=16687 Win=72192 Len=1420 TSval=561817760 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11744","82.340267254","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6781931 Ack=16687 Win=72192 Len=1420 TSval=561817761 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11745","82.340270127","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6783351 Ack=16687 Win=72192 Len=1420 TSval=561817761 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11750","82.344071291","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11751","82.344091721","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6786191 Ack=16687 Win=72192 Len=1420 TSval=561817762 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11753","82.344124816","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6787611 Ack=16687 Win=72192 Len=1420 TSval=561817762 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11754","82.344172973","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6789031 Ack=16687 Win=72192 Len=1420 TSval=561817762 TSecr=3833707116 [TCP segment of a reassembled PDU]"
"11756","82.344189528","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6790451 Ack=16687 Win=72192 Len=1420 TSval=561817763 TSecr=3833707116 [TCP segment of a reassembled PDU]"
